"filename", "language", "JavaScript", "PostCSS", "JSON", "XML", "Markdown", "HTML", "Log", "comment", "blank", "total"
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/pages/detailPage/DetailPage.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 28, 15, 165
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/pages/error/Erreur.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 8, 46
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/pages/home/Home.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/pages/panier/Panier.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/store/activitySlice/activitySlice.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/store/cartSlice/cartSlice.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/store/hebergementSlice/hebergementSlice.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/store/index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/store/layoutSlice/layoutSlice.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/store/modalSlice/modalSlice.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 12, 56
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/src/store/userSlice/userSlice.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/bilalezzaaraoui/4 BIG PROJECT/reservia-react/ui-debug.log", "Log", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"Total", "-", 4485, 19, 56091, 3, 63, 21, 1, 209, 696, 61588
